,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,oldVersion,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTEN','PTK2','EGFR','TP53']
",,,,,,
1,noboundMatrix,"['PTEN']
","['PTEN','TP53']
","['RB1CC1','TP53','PTEN']
","['PTEN','PTK2','EGFR','TP53']
",,,,,,
2,noboundLevelsVec,"['PTEN']
","['PTEN','TP53']
","['RB1CC1','TP53','PTEN']
","['PTEN','PTK2','EGFR','TP53']
",,,,,,
3,nobound_migliorato,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['EGFR','PTK2','PTEN','TP53']
","['BRCA1','PIK3R1','EGFR','TP53','PTEN']
",,,,,
4,bound_min,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTEN','PTK2','EGFR','TP53']
",,,,,,
5,bound_min_migliorato,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTEN','PTK2','EGFR','TP53']
",,,,,,
6,bound_min_migliorato_optimized,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTEN','PTK2','EGFR','TP53']
",,,,,,
7,bound_min_migliorato_iterations,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTEN','PTK2','EGFR','TP53']
",,,,,,
8,bound_min_migliorato_iterations_optimized,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTEN','PTK2','EGFR','TP53']
","['PTEN','TP53','BRCA1','PIK3R1','EGFR']
",,,,,
9,bound_order,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['EGFR','PTK2','PTEN','TP53']
","['EGFR','PIK3R1','BRCA1','TP53','PTEN']
",,,,,
10,bound_order_optimized,"['PTEN']
","['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['EGFR','PTK2','PTEN','TP53']
","['EGFR','PIK3R1','BRCA1','TP53','PTEN']
","['EGFR','PIK3R1','PIK3CA','DDX5','TP53','PTEN']
",,,,
11,bound_order_improved_iterations_percentiles,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['EGFR','PTK2','PTEN','TP53']
","['EGFR','PIK3R1','BRCA1','TP53','PTEN']
","278.697327045
","['EGFR','PIK3R1','BRCA1','RB1','TP53','PTEN','PIK3CA']
",,,
12,bound_means,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['EGFR','PTK2','PTEN','TP53']
",,,,,,
13,bound_means_optimized,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['EGFR','PTK2','PTEN','TP53']
",,,,,,
14,bound_means_iterations,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTEN','PTK2','EGFR','TP53']
","['PTEN','TP53','BRCA1','PIK3R1','EGFR']
",,,,,
15,bound_means_iterations_optimized,,"['PTEN','TP53']
","['PTEN','TP53','RB1CC1']
","['PTEN','PTK2','EGFR','TP53']
","['PTEN','TP53','BRCA1','PIK3R1','EGFR']
",,,,,
