,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,oldVersion,0m22.171s,0m34.811s,4m9.918s,616m32.273s,,,,,,
1,noboundMatrix,0m11.003s,0m11.806s,0m51.901s,53m51.167s,,,,,,
2,noboundLevelsVec,0m10.957s,0m11.942s,0m46.018s,39m55.561s,,,,,,
3,nobound_migliorato,0m11.092s,0m11.672s,0m43.167s,38m15.081s,3769m27.726s,,,,,
4,bound_min,0m16.856s,0m19.676s,0m45.778s,29m43.159s,,,,,,
5,bound_min_migliorato,0m17.769s,0m30.661s,1m13.891s,18m56.932s,,,,,,
6,bound_min_migliorato_optimized,0m18.408s,0m30.525s,1m8.990s,3m39.520s,,,,,,
7,bound_min_migliorato_iterations,0m18.524s,0m54.715s,2m14.110s,15m5.508s,,,,,,
8,bound_min_migliorato_iterations_optimized,0m18.880s,0m54.854s,2m11.626s,5m28.265s,59m24.973s,,,,,
9,bound_order,0m11.340s,0m11.435s,0m15.326s,2m22.579s,52m7.423s,,,,,
10,bound_order_optimized,0m11.488s,0m11.404s,0m14.316s,0m29.257s,7m35.059s,278m56.169s,,,,
11,bound_order_improved_iterations_percentiles,,0m15.016s,0m15.327s,0m16.844s,0m23.605s,5m28.543s,411m4.482s,,,
12,bound_means,,0m11.536s,0m38.633s,36m36.619s,,,,,,
13,bound_means_optimized,,0m11.576s,0m30.046s,9m58.977s,,,,,,
14,bound_means_iterations,,0m15.111s,0m18.842s,3m55.352s,386m29.405s,,,,,
15,bound_means_iterations_optimized,,0m15.155s,0m18.974s,3m53.517s,360m46.071s,,,,,
