,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,oldVersion,"36.57934411386293
","62.82943731775322
","66.49919467585585
","83.34809257014035
",,,,,,
1,noboundMatrix,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
",,,,,,
2,noboundLevelsVec,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
",,,,,,
3,nobound_migliorato,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
","97.5155552187
",,,,,
4,bound_min,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
",,,,,,
5,bound_min_migliorato,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
",,,,,,
6,bound_min_migliorato_optimized,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
",,,,,,
7,bound_min_migliorato_iterations,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
",,,,,,
8,bound_min_migliorato_iterations_optimized,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
","97.5155552187
",,,,,
9,bound_order,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
","97.5155552187
",,,,,
10,bound_order_optimized,"36.5793441139
","62.8294373178
","66.4991946759
","83.3480925701
","97.5155552187
","112.302672955
",,,,
11,bound_order_improved_iterations_percentiles,,"62.8294373178
","66.4991946759
","83.3480925701
","97.5155552187
",00,"120.021639199
",,,
12,bound_means,,"62.8294373178
","66.4991946759
","83.3480925701
",,,,,,
13,bound_means_optimized,,"62.8294373178
","66.4991946759
","83.3480925701
",,,,,,
14,bound_means_iterations,,"62.8294373178
","66.4991946759
","83.3480925701
","97.5155552187
",,,,,
15,bound_means_iterations_optimized,,"62.8294373178
","66.4991946759
","83.3480925701
","97.5155552187
",,,,,
