,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,BFSAndLevelsVec,,0m33.269s,1m39.784s,11m54.160s,38m5.764s,58m11.217s,74m39.742s,90m39.805s,105m44.455s,121m2.829s
1,BFSAndProbCoverAndComplement,,2m11.961s,3m46.401s,16m48.158s,53m16.505s,79m28.756s,99m12.189s,120m4.731s,139m3.123s,159m25.181s
2,bound_order_improved_iterations_percentiles_not_optimized,,0m25.161s,0m31.284s,11m46.162s,34m56.862s,53m20.664s,72m53.651s,90m59.374s,108m39.895s,124m14.480s
3,det_BFSAndLevelsVec,0m23.486s,0m24.987s,1m37.865s,12m10.853s,40m12.860s,60m27.593s,78m48.775s,94m31.903s,110m8.215s,126m34.408s
4,det_BFSAndNumpyAndComplement,3m39.783s,3m48.245s,5m41.452s,26m10.563s,75m28.430s,90m33.938s,129m4.420s,172m18.849s,211m34.662s,253m29.820s
5,det_oldVersion,179m13.936s,175m13.546s,179m52.263s,237m5.643s,329m42.273s,595m44.769s,757m49.284s,689m47.332s,843m26.048s,1003m30.477s
6,det_oldVersion_improved,144m5.151s,205m49.745s,217m26.568s,215m42.647s,375m18.838s,512m10.487s,706m15.709s,866m37.709s,1610m44.936s,1854m23.113s
7,det_onlyBFS,0m22.396s,0m36.290s,8m52.677s,83m19.448s,280m29.343s,428m19.682s,622m10.937s,822m52.739s,1084m32.280s,1312m11.217s
8,det_onlyBFSAndNumpy,0m19.717s,0m24.698s,2m49.872s,23m42.646s,76m3.648s,110m55.143s,150m56.298s,191m51.331s,213m57.315s,260m15.616s
9,oldVersion,,179m48.648s,196m21.625s,274m53.057s,447m26.791s,646m40.617s,1192m0.507s,1168m51.151s,1575m58.697s,
10,onlyBFS,0m22.396s,0m39.111s,7m32.706s,76m0.238s,263m51.499s,446m38.166s,684m21.370s,967m29.732s,,
11,onlyBFSAndComplement,0m26.825s,0m36.913s,7m29.832s,75m30.036s,429m51.747s,721m59.959s,688m15.241s,1061m0.151s,1248m1.506s,1600m57.876s
12,onlyBFSAndProbCover,,2m20.018s,4m3.160s,17m34.151s,55m38.868s,85m47.028s,109m31.693s,134m13.485s,148m47.754s,172m29.558s
