,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,noboundMatrix,00:00:11,00:00:11,00:00:51,00:53:51,,,,,,
1,noboundLevelsVec,00:00:10,00:00:11,00:00:46,00:39:55,,,,,,
2,bound_min,00:00:16,00:00:19,00:00:45,00:29:43,,,,,,
3,bound_min_migliorato,00:00:17,00:00:30,00:01:13,00:18:56,,,,,,
4,bound_min_migliorato_optimized,00:00:18,00:00:30,00:01:8,00:03:39,,,,,,
5,bound_min_migliorato_iterations,00:00:18,00:00:54,00:02:14,00:15:5,,,,,,
6,bound_min_migliorato_iterations_optimized,00:00:18,00:00:54,00:02:11,00:05:28,00:59:24,,,,,
7,bound_order,00:00:11,00:00:11,00:00:15,00:02:22,00:52:7,,,,,
8,bound_order_optimized,00:00:11,00:00:11,00:00:14,00:00:29,00:07:35,04:38:56,,,,
9,bound_means,,00:00:11,00:00:38,00:36:36,,,,,,
10,bound_means_optimized,,00:00:11,00:00:30,00:09:58,,,,,,
11,bound_means_iterations,,00:00:15,00:00:18,00:03:55,06:26:29,,,,,
12,bound_means_iterations_optimized,,00:00:15,00:00:18,00:03:53,06:00:46,,,,,
