Metodo-k,1,2,3,4,5,6
,Levels,Levels,Levels,Levels,Levels,Levels
oldVersion,[9859],,,,,
nobound numpy,[9859],"[9859, 40705]","[9859, 40705, 1808307]","[9859, 40705, 1808307, 131883233]",,
nobound levelsVec,[9859],"[9859, 40705]","[9859, 40705, 1808307]","[9859, 40705, 1808307, 131883233]",,
nobound_migliorato,[9859],"[5782, 35219]","[5782, 35219, 1694511] ","[5782, 35219, 1694511, 127941059]","[5782, 35219, 1694511, 127941059, 11226898128]",
bound_min,[9859],"[5782, 22197]","[5782, 22884, 1203923]","[5782, 22421, 1197416, 96694067]",,
bound_min_migliorato,[9859],"[5782, 3525]","[5782, 31217, 579026]","[5782, 34952, 1685343, 51907545]",,
bound_min_migliorato_optimized,[9859],"[5782, 3537]","[5782, 31222, 370309]","[5782, 34952, 1531380, 3116330]",,
bound_min_migliorato_iterations,[9859],"[5782, 1474]","[5782, 15743, 286060]","[5782, 23680, 1075281, 32639680]",,
bound_min_migliorato_iterations_optimized ,[9859],"[5782, 1549]","[5782, 15690, 187228]","[5782, 23817, 906551, 1917912]","[5782, 24994, 1281132, 58914247, 107221211]",
bound_order ,[9859],"[5782, 888]","[5782, 18061, 131390]","[5782, 35219, 592618, 4022535]","[5782, 35219, 1694511, 15045755, 72366571]",
bound_order_optimized ,[9859],"[5782, 888]","[5782, 18061, 110947]","[5782, 35219, 375767, 67761]","[5782, 35219, 1694511, 5399960, 8984133]","[5782, 35219, 1694511, 127941059, 273571502, 40917891]"
bound_means,[9859],"[5782, 15398]","[5782, 33528, 1427465]","[5782, 35119, 1692953, 121353618]",,
bound_means_optimized,[9859],"[5782, 15398]","[5782, 33528, 959259]","[5782, 35119, 1666494, 29167403]",,
bound_means_iterations,[9859],"[5782, 1476]","[5782, 15025, 108561]","[5782, 33095, 1421697, 10932148]","[5782, 34943, 1692203, 121204015, 1204847289]",
bound_means_iterations_optimized ,[9859],"[5782, 1476]","[5782, 15025, 108561]","[5782, 33095, 982900, 10932148]","[5782, 34943, 1660016, 31050281, 1204847252]",
