,method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
0,BFSAndLevelsVec,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[EGFR, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, SPEN, TP53]","[EGFR, PIK3CA, PIK3R1, PLCG2, PTEN, PTK2, SPEN, TP53]","[ABL1, EGFR, PIK3CA, PIK3R1, PTEN, PTK2, RB1, SPEN, TP53]","[ABL1, EGFR, PIK3CA, PIK3R1, PLCG2, PTEN, PTK2, RB1, SPEN, TP53]"
1,BFSAndProbCoverAndComplement,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[EGFR, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, SPEN, TP53]","[EGFR, PIK3CA, PIK3R1, PLCG2, PTEN, PTK2, SPEN, TP53]",,
2,bound_order_improved_iterations_percentiles_not_optimized,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[EGFR, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, SPEN, TP53]","[EGFR, PIK3CA, PIK3R1, PLCG2, PTEN, PTK2, SPEN, TP53]","[ABL1, EGFR, PIK3CA, PIK3R1, PTEN, PTK2, RB1, SPEN, TP53]","[ABL1, EGFR, PIK3CA, PIK3R1, PLCG2, PTEN, PTK2, RB1, SPEN, TP53]"
3,det_BFSAndLevelsVec,[EGFR],"[EGFR, PIK3R1]","[EGFR, PIK3CA, PIK3R1]","[EGFR, PTEN, PTK2, TP53]","[EGFR, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[EGFR, FLNB, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[EGFR, FLNB, PIK3CA, PIK3R1, PTEN, PTK2, SPEN, TP53]","[EGFR, FLNB, IDH1, PIK3CA, PIK3R1, PTEN, PTK2, TP53, ZHX1]","[EGFR, FLNB, IDH1, PIK3CA, PIK3R1, PTEN, PTK2, SPEN, TP53, ZHX1]"
4,det_BFSAndNumpyAndComplement,[2622],"[2622, 6278]","[2622, 6273, 6278]","[2622, 6780, 6793, 8821]","[2622, 6278, 6780, 6793, 8821]","[2622, 6273, 6278, 6780, 6793, 8821]","[2622, 3172, 6273, 6278, 6780, 6793, 8821]","[2622, 3172, 6273, 6278, 6780, 6793, 8105, 8821]","[2622, 3172, 3978, 6273, 6278, 6780, 6793, 8821, 9585]","[2622, 3172, 3978, 6273, 6278, 6780, 6793, 8105, 8821, 9585]"
5,det_oldVersion,[EGFR],"[EGFR, PIK3R1]","[EGFR, PIK3CA, PIK3R1]","[EGFR, PTEN, PTK2, TP53]","[EGFR, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TLN1, TP53]","[EGFR, IDH1, PIK3CA, PIK3R1, PTEN, PTK2, TP53, ZHX1]","[CFLAR, EGFR, IDH1, PIK3CA, PIK3R1, PTEN, PTK2, TP53, ZHX1]","[DDX5, EGFR, ESR1, FLNB, IDH1, PIK3CA, PIK3R1, PTEN, TP53, ZHX1]"
6,det_oldVersion_improved,[2622}],,,"[2622}, 6780, 6793, 8821]","[2622}, 6278, 6780, 6793, 8821]","[2622}, 6273, 6278, 6780, 6793, 8821]","[2622, 6273, 6278, 6780, 6793, 8639}, 8821]","[2622}, 3978, 6273, 6278, 6780, 6793, 8821, 9585]",,
7,det_onlyBFS,[2622],"[2622, 6278]","[2622, 6273, 6278]","[2622, 6780, 6793, 8821]","[2622, 6278, 6780, 6793, 8821]","[2622, 6273, 6278, 6780, 6793, 8821]","[2622, 3172, 6273, 6278, 6780, 6793, 8821]","[2622, 3172, 6273, 6278, 6780, 6793, 8105, 8821]",,
8,det_onlyBFSAndNumpy,[2622],"[2622, 6278]","[2622, 6273, 6278]","[2622, 6780, 6793, 8821]","[2622, 6278, 6780, 6793, 8821]","[2622, 6273, 6278, 6780, 6793, 8821]","[2622, 3172, 6273, 6278, 6780, 6793, 8821]","[2622, 3172, 6273, 6278, 6780, 6793, 8105, 8821]","[2622, 3172, 3978, 6273, 6278, 6780, 6793, 8821, 9585]","[2622, 3172, 3978, 6273, 6278, 6780, 6793, 8105, 8821, 9585]"
9,oldVersion,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[EGFR, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[DDX5, EGFR, ESR1, PIK3CA, PIK3R1, PTEN, TP53]","[EGFR, IDH1, PIK3CA, PIK3R1, PTEN, PTK2, TP53, ZHX1]","[DDX5, EGFR, ESR1, IDH1, PIK3CA, PIK3R1, PTEN, TP53, ZHX1]",
10,onlyBFS,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[EGFR, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, SPEN, TP53]","[EGFR, PIK3CA, PIK3R1, PLCG2, PTEN, PTK2, SPEN, TP53]",,
11,onlyBFSAndComplement,[PTEN],"[PTEN, TP53]","[PTEN, RB1CC1, TP53]",,,,"[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, SPEN, TP53]","[EGFR, PIK3CA, PIK3R1, PLCG2, PTEN, PTK2, SPEN, TP53]",,
12,onlyBFSAndProbCover,,"[PTEN, TP53]","[PTEN, RB1CC1, TP53]","[EGFR, PTEN, PTK2, TP53]","[EGFR, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, TP53]","[EGFR, PIK3CA, PIK3R1, PTEN, PTK2, SPEN, TP53]","[EGFR, PIK3CA, PIK3R1, PLCG2, PTEN, PTK2, SPEN, TP53]",,
